entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri
November 6,"""Need to Know""",Doja Cat,8,November 13,9,2021,spotify:track:3Vi5XqYrmQgOYBajMWSvCi
November 20,"""One Right Now""",Post Malone and The Weeknd,6,November 20,1,2021,spotify:track:3Z9iVaKGEDZtd6jvzuoF0e
November 27,"""All Too Well Taylors Version""",Taylor Swift,1,November 27,2,2021,spotify:track:5enxwA8aAbwZbf5qCHORXi
December 4,"""Oh My God""",Adele,5,December 4,1,2021,spotify:track:3Kkjo3cT83cw09VJyrLNwX
December 18,"""I Hate U""",SZA,7,December 18,1,2021,spotify:track:2aJnyNu4PQxQ2lyj5boiMG
October 23,"""Shivers""[B] #5",Ed Sheeran,4,January 15,19,2022,spotify:track:1fIno2SVwLE4lrRML5LvXo
January 22,"""abcdefu""",Gayle,3,March 5,13,2022,spotify:track:4fouWK6XVHhzl78KzQ1UjL
January 29,"""Surface Pressure""",Jessica Darrow,8,February 12,4,2022,spotify:track:760jhRscwGbIIe1m1IIQpU
February 19,"""Do We Have a Problem?""",Nicki Minaj and Lil Baby,2,February 19,1,2022,spotify:track:2DXyGJeqvRior6VSJ90wvx
February 19,"""Ghost"" #8",Justin Bieber,5,April 2,12,2022,spotify:track:6ClQQ5Y8SpQrzqjBdcGgmM
March 26,"""Enemy""",Imagine Dragons and JID,5,April 9,8,2022,spotify:track:3CIyK1V4JEJkg02E4EJnDl
April 2,"""Woman""",Doja Cat,7,May 7,6,2022,spotify:track:6Uj1ctrBOjOas8xZXGqKk4
April 9,"""Big Energy""[M] #7",Latto,3,April 9,14,2022,spotify:track:4pi1G1x8tl9VfdD9bL3maT
April 30,"""Dont Think Jesus""",Morgan Wallen,7,April 30,1,2022,spotify:track:1TUuhV75FeOF6UObRsABo2
May 14,"""Puffin on Zootiez""",Future,4,May 14,1,2022,spotify:track:1qMMYpVatbRITKCfq1gasi
May 14,"""712PM""",Future,8,May 14,1,2022,spotify:track:3FSwpQ9dBZBeBV6UdYHI2R
May 21,"""Moscow Mule""",Bad Bunny,4,May 21,1,2022,spotify:track:6Xom58OOXk2SoU711L2IXO
May 21,"""Después de la Playa""",Bad Bunny,6,May 21,1,2022,spotify:track:1dm6z1fWB0cErMszU25dy2
May 21,"""About Damn Time""",Lizzo,1,July 30,22,2022,spotify:track:1PckUlxKqWQs3RlWXVBLw3
May 28,"""N95""",Kendrick Lamar,3,May 28,1,2022,spotify:track:0fX4oNGBWO3dSGUZcVdVV2
May 28,"""Die Hard""","Kendrick Lamar, Blxst and Amanda Reifer",5,May 28,1,2022,spotify:track:2g6tReTlM2Akp41g0HaeXN
May 28,"""Silent Hill""",Kendrick Lamar and Kodak Black,7,May 28,1,2022,spotify:track:3lzUeaCbcCDB5IXYfqWRlF
May 28,"""United in Grief""",Kendrick Lamar,8,May 28,1,2022,spotify:track:5Gt9bxniM1SxN61yRzRhXL
June 4,"""Music for a Sushi Restaurant""",Harry Styles,8,June 4,1,2022,spotify:track:5LYMamLv12UPbemOaTPyeV
June 4,"""Matilda""",Harry Styles,9,June 4,1,2022,spotify:track:6uvh0In7u1Xn4HgxOfAn8O
June 11,"""Running Up That Hill A Deal with God""",Kate Bush,3,July 30,15,2022,spotify:track:29d0nY7TzCoi22XBqDQkiP
June 25,"""Glimpse of Us""",Joji,8,July 2,3,2022,spotify:track:6xGruZOHLs39ZbVccQTuPZ
July 2,"""Sticky""",Drake,6,July 2,1,2022,spotify:track:4rmVZajAF7PkrCagGPHbqa
July 2,"""Falling Back""",Drake,7,July 2,1,2022,spotify:track:1vbn9fEyw1IYhqgZJdu9ZB
July 9,"""Break My Soul""",Beyoncé,1,August 13,10,2022,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U
August 20,"""Bad Decisions""","Benny Blanco, BTS and Snoop Dogg",10,August 20,1,2022,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn
August 27,"""Super Freaky Girl""[T]",Nicki Minaj,1,August 27,11,2022,spotify:track:38Fazsktd6NkZaMTwlOzgC
September 10,"""Hold Me Closer""",Elton John and Britney Spears,6,September 10,1,2022,spotify:track:72yP0DUlWPyH8P7IoxskwN
September 17,"""I Aint Worried""",OneRepublic,6,October 15,7,2022,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB
October 1,"""The Kind of Love We Make""[S]",Luke Combs,8,October 1,3,2022,spotify:track:62K5C0fJteUzWm50lbE9Sc
October 22,"""Vegas""",Doja Cat,10,October 22,1,2022,spotify:track:0hquQWY3xvYqN4qtiquniF
October 29,"""California Breeze""",Lil Baby,4,October 29,1,2022,spotify:track:6ug9fUi5oLLgQgOF1G8WkM
October 29,"""Real Spill""",Lil Baby,10,October 29,1,2022,spotify:track:4OkFBMU18NidtaefaTjUq1
November 5,"""Anti-Hero""",Taylor Swift,1,November 5,12*,2022,spotify:track:0V3wPSX9ygBnCm8psDIegu
November 5,"""Lavender Haze""",Taylor Swift,2,November 5,2,2022,spotify:track:5jQI2r1RdgtuT8S3iG8zFC
November 5,"""Maroon""",Taylor Swift,3,November 5,1,2022,spotify:track:3eX0NZfLtGzoLUxPNvRfqm
November 5,"""Midnight Rain""",Taylor Swift,5,November 5,2,2022,spotify:track:3rWDp9tBPQR9z6U5YyRSK4
November 5,"""Bejeweled""",Taylor Swift,6,November 5,2,2022,spotify:track:3qoftcUZaUOncvIYjFSPdE
November 5,"""Question?""",Taylor Swift,7,November 5,1,2022,spotify:track:6C7OF1Jal7YkyjzyUG8vkK
November 5,"""Youre on Your Own, Kid""",Taylor Swift,8,November 5,1,2022,spotify:track:4D7BCuvgdJlYvlX5WlN54t
November 5,"""Karma""",Taylor Swift,9,November 5,1,2022,spotify:track:7KokYm8cMIXCsGVmUvKtqf
November 5,"""Vigilante Shit""",Taylor Swift,10,November 5,1,2022,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O
November 12,"""Lift Me Up""[U]",Rihanna,2,November 12,2,2022,spotify:track:35ovElsgyAtQwYPYnZJECg
November 19,"""BackOutsideBoyz""",Drake,9,November 19,1,2022,spotify:track:0wshkEEcJUQU33RSRBb5dv
December 17,"""Creepin""","Metro Boomin, The Weeknd and 21 Savage",5,December 17,3*,2022,spotify:track:2dHHgzDwk4BJdRwy9uXhTO
December 17,"""Superhero Heroes & Villains""","Metro Boomin, Future and Chris Brown",8,December 17,1,2022,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j
December 24,"""Nobody Gets Me""",SZA,10,December 24,1,2022,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm
