entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri
June 11,"""Mr Brightside""",The Killers,10,June 11,1,2005,spotify:track:003vvx7Niy0yvhvHt4a68B
June 18,"""Grind with Me""",Pretty Ricky,7,June 25,5,2005,spotify:track:3B7i9OKRRmIsSBHEbJz58Y
July 2,"""Inside Your Heaven""",Carrie Underwood,1,July 2,4,2005,spotify:track:3w8xlZi49MQuQkyyB5bi5e
July 9,"""Inside Your Heaven""",Bo Bice,2,July 9,2,2005,spotify:track:6SZBK8Z2Tdv7vgO3ZJnHTN
July 16,"""Pon de Replay""",Rihanna,2,July 30,11,2005,spotify:track:4TsmezEQVSZNNPv5RJ65Ov
August 13,"""Listen to Your Heart""",DHT,8,August 20,5,2005,spotify:track:5KqEPvurLuOoV64tNylPO6
August 13,"""You and Me""",Lifehouse,5,August 27,6,2005,spotify:track:0815caqt2Lytro5EIzMufT
August 27,"""Shake It Off""",Mariah Carey,2,September 10,13,2005,spotify:track:4VKnkoNNM6yTb4cXXX3wqD
September 3,"""Like You""",Bow Wow featuring Ciara,3,October 1,11,2005,spotify:track:0aoOyPtOvWQs6BnGnbFUlj
September 17,"""Sugar, Were Goin Down""",Fall Out Boy,8,September 17,5,2005,spotify:track:2TfSHkHiFO4gRztVIkggkE
September 24,"""My Humps""",The Black Eyed Peas,3,November 5,16,2005,spotify:track:0T6lVd2JSk7R803PfCXFJS
September 24,"""Wake Me Up When September Ends""",Green Day,6,October 15,7,2005,spotify:track:3ZffCQKLFLUvYM59XKLbVm
October 1,"""Play""",David Banner,7,October 15,4,2005,spotify:track:5CWyE2OcZI1HVnHBh4RrKF
October 8,"""Beverly Hills""",Weezer,10,October 8,1,2005,spotify:track:1yKu2MhpwzDXXH2tzG6xoa
October 8,"""Photograph""",Nickelback,2,October 22,17,2005,spotify:track:3hb2ScEVkGchcAQqrPLP0R
October 22,"""Because of You""",Kelly Clarkson,7,November 19,10,2005,spotify:track:3f3omU8n47Mqyab5nCaGyT
November 5,"""We Be Burnin""",Sean Paul,6,November 12,7,2005,spotify:track:4kOTDj4SiZPkW1p96WMDNv
November 19,"""Im Sprung""",T-Pain,8,November 19,2,2005,spotify:track:0DLOyyQvwPTSDKuhpzMMwA
November 26,"""Stickwitu""",The Pussycat Dolls,5,December 31,12,2005,spotify:track:4NjR63Up0uMkQBlKvlZd1l
December 3,"""Hung Up""",Madonna,7,December 3,2,2005,spotify:track:3850dYVgOFIXJh5U4BFEWH
December 17,"""Dont Forget About Us""",Mariah Carey,1,December 31,8,2005,spotify:track:1HkVSmzBbdZ5Bzdd00IZgh
December 17,"""When Im Gone""",Eminem,8,December 17,2,2005,spotify:track:2lRI7n5b9jlPYsEpRuots6
November 26,"""Laffy Taffy""",D4L,1,January 14,11,2006,spotify:track:2ajhenDRiiAnCHHjsIOHhJ
December 31,"""There It Go The Whistle Song""",Juelz Santana,6,January 28,5,2006,spotify:track:50UkypyQJbSQLaXHke5Yep
January 14,"""Dance, Dance""",Fall Out Boy,9,January 14,1,2006,spotify:track:0a7BloCiNzLDD9qSQHh5m7
January 21,"""Dirty Little Secret""",The All-American Rejects,9,January 21,3,2006,spotify:track:5lDriBxJd22IhOH9zTcFrV
January 28,"""Be Without You""",Mary J. Blige,3,February 11,14,2006,spotify:track:6Y3WvyUG9iE5bQYg38SPtQ
February 11,"""So Sick""",Ne-Yo,1,March 18,11,2006,spotify:track:6brl7bwOHmGFkNw3MBqssT
February 18,"""Yo Excuse Me Miss""",Chris Brown,7,February 18,8,2006,spotify:track:7DFnq8FYhHMCylykf6ZCxA
February 25,"""Temperature"" #2",Sean Paul,1,April 1,17,2006,spotify:track:2BDTYAe51lKG7w5XMCVeyg
March 11,"""Everytime We Touch""",Cascada,10,March 11,1,2006,spotify:track:5YJtMNWKe55yr49cyJgxva
March 25,"""Bad Day"" #1",Daniel Powter,1,April 8,14,2006,spotify:track:31TNOOTqabS9UjUD5ScPPF
April 15,"""What You Know""",T.I.,3,April 22,8,2006,spotify:track:0CAJdthKDdRjB2h8YOguN6
April 22,"""What Hurts the Most""",Rascal Flatts,6,April 29,2,2006,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4
April 29,"""Dani California""",Red Hot Chili Peppers,6,May 27,7,2006,spotify:track:10Nmj3JCNoMeBQ87uw5j8k
May 13,"""SOS""",Rihanna,1,May 13,6,2006,spotify:track:30cSNer6TV8x2utjULVeQ5
May 13,"""Whats Left of Me""",Nick Lachey,6,May 13,3,2006,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd
May 20,"""Over My Head Cable Car""",The Fray,8,June 3,8,2006,spotify:track:1N62wozuHCvczCkY4QidpP
June 10,"""Me & U""",Cassie,3,July 22,15,2006,spotify:track:7k6IzwMGpxnRghE7YosnXT
June 17,"""Unfaithful""",Rihanna,6,July 22,8,2006,spotify:track:13xxBnXOuiBxVxJI458B0i
July 1,"""Do I Make You Proud""",Taylor Hicks,1,July 1,2,2006,spotify:track:3lxFENvLW8nxXAbNfkZ7IJ
July 1,"""Life Is a Highway""",Rascal Flatts,7,July 1,2,2006,spotify:track:2Fs18NaCDuluPG1DHGw1XG
July 8,"""Aint No Other Man""",Christina Aguilera,6,July 15,9,2006,spotify:track:7huo2wvrCgRucUsjdSDLQV
July 29,"""Buttons""",The Pussycat Dolls featuring Snoop Dogg,3,September 23,11,2006,spotify:track:2ICylmg7jCYdOWUFNa8VW7
August 12,"""London Bridge""",Fergie,1,August 19,10,2006,spotify:track:7jRoWfRlLnGYEIEn4t4kbq
August 19,"""I Write Sins Not Tragedies""",Panic! at the Disco,7,August 26,3,2006,spotify:track:4bPQs0PHn4xbipzdPfn6du
August 26,"""Sexy Love""",Ne-Yo,7,September 23,5,2006,spotify:track:10aWGOqSDBqvNzJ9NeKDbK
September 9,"""Call Me When Youre Sober""",Evanescence,10,September 9,1,2006,spotify:track:663Karu2rvKLdnY0eo1n3M
September 16,"""Chasing Cars""",Snow Patrol,5,October 14,13,2006,spotify:track:5hnyJvgoWiQUYZttV4wXy6
September 16,"""Far Away""",Nickelback,8,September 23,6,2006,spotify:track:0ADZ5dmXhlfzjMw6lefoPl
September 23,"""Lips of an Angel""",Hinder,3,October 14,16,2006,spotify:track:40LQiUUUKXVGyNs09lHVjW
September 30,"""Chain Hang Low""",Jibbs,7,October 21,5,2006,spotify:track:0tYPj0NYa7vjlJaqlRSnJb
September 30,"""How to Save a Life""",The Fray,3,October 7,19,2006,spotify:track:5fVZC9GiM4e8vu99W0Xf6J
September 30,"""Too Little Too Late""",JoJo,3,September 30,6,2006,spotify:track:4T4NLIMypdmyUwK54jECk4
October 21,"""White & Nerdy""","""Weird Al"" Yankovic",9,October 21,1,2006,spotify:track:60R2v9lheAu3lwZwAFxMZK
November 11,"""Say Goodbye""",Chris Brown,10,November 11,2,2006,spotify:track:5F7IJrXD6Fa3EmqoYE0gU4
November 18,"""Irreplaceable""",Beyoncé,1,December 16,16,2006,spotify:track:6RX5iL93VZ5fKmyvNXvF1r
